Candidate,Campaign Committee,Jurisdiction,Office,District,Election Year,Party,COOSA,Total Contributions,Total Expenditures
"Stephens, Lawton Evans",LAWTON STEPHENS JUDICIAL CAMPAIGN,State,Superior Court Judge,Western Judicial Circuit: Stephens,2024,Non-Partisan,No,4126.3,4073.71,
"Stephens, Mickey ",,State,State Representative,165,2022,Democrat,Yes,,,
"Stephenson, Andrea ",AndreaForGeorgia,State,State Representative,104,2022,Democrat,No,1207.83,1207.83,
"Stevens, Reign Temeka",Reign4GA,State,State Representative,116,2024,Republican,No,5400,4000,
"Steverson, James",,Talbot,Board of Education,2,2022,Democrat,No,,,
"stewart, kenneth wayne",,Morgan County,Sheriff,,2024,Republican,No,,,
"Still, Shawn M.",,State,State Senator,48,2024,Republican,Yes,428661.86,567527.47,
"Stokes, Tammy Marcel",Tammy Stokes for Superior Court Judge,State,Superior Court Judge,Eastern Judicial Circuit: Abbot,2022,Non-Partisan,No,107539.25,107051.77,
"Stone, Jesse C.",Jesse Stone for Superior Court,State,Superior Court Judge,Augusta Judicial Circuit: Stone,2022,Non-Partisan,No,114823.35,95061.65,
"Stone, Jesse Collins","Friends of Jesse Stone, Inc.",State,State Senator,23,2022,Republican,Yes,89402.06,89402.06,
"STONER, WILLIAM DOUGLAS",FRIENDS OF DOUG STONER,State,State Representative,40,2024,Democrat,No,136200,82481.97,
"Stonne, Jayson Travis",,State,State Representative,144,2022,Republican,No,4975,5325,
"Storey, Thomas Christopher",Committee to Elect Chris Storey,Clayton County,Sheriff,,2024,Democrat,No,,,
"Stovall, Valencia ",Stovall for Senate 34,State,State Senator,34,2024,Democrat,Yes,18891,10499.66,
"Stover, Brian",Brian Stover for Chairman,Paulding County,County Commission Chair,,2024,Non-Partisan,Yes,,,
"Straut, Richard Kevin",,State,State Senator,49,2022,Republican,Yes,12986,15804.2,
"Strickland, Emma",,Long County,County Commissioner,5,2024,Republican,No,,,
"Strickland, Robert Brian",Strickland for Georgia,State,State Senator,17,2024,Republican,Yes,564875.75,376400.24,
"Strickland-Merritt, Nikki Alexia-China",The People for Nikki Merritt,State,State Senator,9,2024,Democrat,Yes,154664.21,98406.67,
"Stubbs, Keisha",,Henry,Board of Education,5,2022,Other,No,,,
"STULTZ, JAMES DONALD",,Walker County,Sheriff,,2024,Republican,No,,,
"Sullivan-Marzahl, Daniela Anna",,State,State Senator,25,2022,Republican,No,,,
"Summers, Carden H.",Committee to Elect Carden H. Summers,State,State Senator,13,2024,Republican,Yes,457347.04,158442.63,
"Surrency, Naida ",Surrency for Georgia,,Commissioner of Labor,,2022,Democrat,No,11200,10529.88,
"Swann, Vicki L",,Taliaferro County,Tax Commissioner,,2024,Democrat,No,,,
"Swann, Willie Fred",Fred Swann for Georgia,,Commissioner of Agriculture,,2022,Democrat,Yes,80687,80687,
"Swenson, Daniel",Daniel Swenson Campaign Committee,State,State Representative,130,2022,Republican,No,3818,3918.24,
"Sykes, Deborah",,Henry,Board of Education,4,2022,Other,No,,,
"Tabarrok, Michael R",Justice For Albany,State,Superior Court Judge,Dougherty Judicial Circuit: Lockette,2024,Non-Partisan,No,18608.58,15214.83,
"Tankersley, Jan B.",,State,State Representative,160,2022,Republican,No,136179.88,132752.64,
Tarvin Thomas Stephen "Steve",Friends of Steve Tarvin,State,State Representative,2,2022,Republican,Yes,84335.8,71163.39,
"Tate, Horacena ",,State,State Senator,38,2022,Democrat,No,78023.96,46217.5,
"Taylor, Connie",,Cobb County,Clerk of Superior Court,,2024,Other,No,,,
"Taylor, Darlene ",Darlene for Georgia,State,State Representative,173,2024,Republican,Yes,226430.88,156231.32,
"Taylor, Johnatha Keith (Keybo)",Committee To Elect Keybo Taylor Sheriff,Gwinnett County,Sheriff,,2022,Democrat,Yes,,,
"Taylor, Kandiss Sharpe",Kandiss Taylor for Governor,,Governor,,2022,Republican,No,354186.94,354186.94,
"Taylor, Mario",,Augusta-Richmond (Cons. Gov.),County Commissioner,6,2022,Other,No,,,
"Taylor, Rhonda S.",Committee to Elect Rhonda Taylor,State,State Representative,91,2022,Democrat,Yes,45641.35,45148.73,
"Taylor, Robert",,Savannah-Chatham,Board of Education,6,2024,Other,No,,,
"Taylor, Shea",,State,State Representative,37,2024,Republican,Yes,,,
"Taylor, Stuart Shea",,State,State Representative,37,2024,Republican,No,,,
"Taylor, Tracy",Committee to Elect Tracy Taylor,State,State Representative,153,2024,Democrat,No,,,
"Taylor, Tracy",,State,State Representative,153,2022,Republican,No,3000,1882.01,
"Taylor, William Dennis, III",Friends of Judge Trey Taylor,State,Superior Court Judge,Dublin Judicial Circuit: Gillis,2024,Non-Partisan,No,124411,67216.02,
"Teasley, Sam ","Friends of Sam Teasley, LLC",State,State Representative,44,2022,Republican,No,75814.21,4698.64,
"Teems, Angela Kay",Committee to Elect Angie Teems,Walker County,County Commission Chair,,2024,Republican,No,,,
"Teems, Angie",Committee to Elect Angie Teems,Walker County,County Commission Chair,,2024,Republican,No,,,
"Temesgen, Pythias",,Columbus-Muscogee (Cons. Gov.),State Court Judge,at-Large,2024,Non-Partisan,No,,,
Terry Darryl "DJ" II,"Friends to Elect DJ Terry, II",State,State Senator,38,2024,Democrat,Yes,,,
"Terry, Edward Curtis",Ted for DeKalb,DeKalb County,County Commissioner,6,2024,Democrat,No,,,
"Tharpe, Richard",Committee to Elect Richard Tharpe,Catoosa County,County Commissioner,3,2024,Republican,Yes,,,
"Thomas, Brad David",Brad for Georgia,State,State Representative,21,2024,Republican,Yes,152238.16,48856.72,
"Thomas, Erica ",Committee to Elect Erica Thomas,State,State Representative,39,2022,Democrat,Yes,11864.12,,
"Thomas, James Dustin",,Wilkinson County,Coroner,,2024,Republican,No,,,
"Thomas, John L",,Bacon County,County Commissioner,6,2022,Other,No,,,
"Thomas, Mandisha ",Committee to Elect Mandisha Thomas,State,State Representative,65,2022,Democrat,No,23197.35,11013.26,
"Thomas, Nadine",,State,State Senator,44,2024,Democrat,Yes,16005.5,12840.1,
"Thomas, Theresa ",,State,State Representative,173,2024,Democrat,No,840.18,840.18,
"Thomas, Vivian",,Henry County,County Commissioner,4,2022,Other,No,,,
"Thomason, Tommy",,State,State Representative,73,2024,Democrat,No,,,
"Thompson, Don Wesley",Committee to Elect Judge Don W Thompson,State,Superior Court Judge,Lookout Mountain,2022,Non-Partisan,Yes,36761.05,5753.51,
"Thompson, Henry Rance",,Cobb County,State Court Judge,3,2024,Other,No,,,
"Thompson, Henry Rance",Friends of Judge Henry Thompson,State,Superior Court Judge,Cobb Judicial Circuit: Thompson,2024,Non-Partisan,No,55448.9,16522.7,
"Thompson, John David",,Brantley,Board of Education,5,2024,Non-Partisan,No,,,
"Thompson, Marcus Kevin",Committee to Elect Marcus Thompson,State,State Representative,164,2022,Democrat,No,900,1603.26,
"Thompson, Neva",Neva For Georgia,State,State Representative,96,2024,Democrat,No,4325,,
"Thompson, Patricia ",Trish4Doraville,Doraville,City Councilperson,1,2022,Non-Partisan,Yes,,,
"Thompson, Patrick Patrick",,State,State Representative,56,2022,Democrat,No,8133.2,8533.2,
"Thompson, Ronald K",,State,Superior Court Judge,Ogeechee Judicial Circuit: Thompson,2024,Non-Partisan,Yes,12661.35,4073.71,
"Thornton, Christopher Rashad",VoteForCT,State,State Representative,64,2022,Democrat,No,2458.8,2458.8,
"Thornton, Mary Hardin",Committee to Elect Mary Hardin Thornton,Floyd County,Clerk of Superior Court,,2024,Republican,No,,,
"Thrift, Elmer",,Ware County,County Commissioner,0,2024,Other,No,,,
"Thrift, Harry",,Ware County,County Commission Chair,,2024,Other,No,,,
"Tillery, Michael Blake",Friends of Blake Tillery,State,State Senator,19,2024,Republican,Yes,1596135.27,375791.5,
"Tillman, Alcindor",,Macon-Bibb (Cons. Gov.),County Commissioner,9,2022,Other,No,,,
"Tillman, Anna Jennell",Anna Tillman for State House,State,State Representative,43,2022,Republican,No,47512.75,28414.051,
"Tippins, Lindsey Allen",Tippins for State Senate,State,State Senator,37,2022,Republican,Yes,101535.39,41535.15,
"Tisinger, Erica Leigh",Friends of Erica Tisinger,State,Superior Court Judge,Coweta Judicial Circuit: Hamrick,2024,Non-Partisan,No,13530.7,4073.71,
"Tolin, Tyler",,State,State Representative,9,2022,Republican,Yes,2445,,
"Tomberlin, Everett",,Bacon County,Surveyor,,2024,Other,No,,,
"Tomlinson, Clayton A",Committee To Elect Clayton A. Tomlinson For Superior Court Judge,State,Superior Court Judge,Alapaha Judicial Circuit: McClain,2024,Non-Partisan,Yes,17482.78,4198.71,
"Toney, Edward",,Henry County,County Commissioner,5,2022,Other,No,,,
"Tonge, Brandon A.",FRIENDS OF BRANDON,State,State Representative,58,2022,Democrat,No,3375,3139.5,
"Toole, Ramona",Toole for Judge,Gwinnett County,State Court Judge,2,2024,Non-Partisan,Yes,,,
"Toole, William Richard","Rick Toole for Georgia, Inc.",State,State Representative,131,2024,Republican,Yes,516,516,
"Totten, Daphne Jarriel",Committee to Re- Elect Daphne J. Totten District Attorney,State,District Attorney,Ogeechee,2024,Republican,No,50308.97,30348.77,
"Totten, Melody L",,State,State Senator,34,2024,Democrat,No,825,430,
"Townsend, Patrick Donald, Jr.",Committee to Elect Don Townsend,Dade County,County Commission Chair,,2024,Republican,No,,,
"Townsend, Richard Allen",Rick Townsend for Georgia,State,State Representative,179,2024,Republican,Yes,204326.06,139782.78,
"Trammell Cusick, Jill Denise",,State,State Representative,50,2022,Republican,No,13352.77,13352.77,
"Trammell, Robert T, Jr.","Committee to Elect Bob Trammell, Inc.",State,State Representative,132,2022,Democrat,No,19352.48,19352.48,
"Tran, Long Xuan",Friends of Long Tran LLC,State,State Representative,80,2024,Democrat,No,48120.18,33495.65,
"Travis, Tommy T",,DeKalb County,County Commissioner,3,2024,Non-Partisan,No,,,
"Treadaway, Susan K",Susan for Cherokee,State,District Attorney,Blue Ridge,2024,Republican,No,48216.4,22691.05,
"Tressler, Julie ",Committee to Elect Julie Tressler,State,State Representative,28,2022,Republican,No,68051.62,58368.79,
"Triebsch, Christine",,Cobb County,County Commissioner,3,2022,Democrat,No,,,
"Trim, Robert ",Trim35.com,State,State Representative,35,2022,Republican,No,50225,49705,
"Triplett, John",,Screven County,County Commissioner,7,2022,Republican,No,,,
"Turner, Benjamin W.",Turner for Georgia,,Lieutenant Governor,,2022,Democrat,No,,,
"Turner, Gregory M",,Macon-Bibb (Cons. Gov.),County Commissioner,9,2024,Other,No,,,
"Turner, Jeffrey",Committee to elect Jeff Turner,Clayton County,Sheriff,,2024,Democrat,No,,,
"Turner, Kay Denise",Kay Turner Campaign,State,State Representative,125,2024,Democrat,Yes,5470.1,2026.55,
"Turner, Latrell",,Bacon,Board of Education,5,2024,Other,No,,,
"Turner, Martin A, III",Campaign to Elect Martin Turner,Camden County,County Commissioner,2,2022,Republican,No,,,
"Turner, Scott",,Paulding County,County Commissioner,1,2024,Other,No,,,
"Turner, Verdaillia",,State,State Senator,55,2024,Democrat,No,,,
"Tyre, Corey",,Bacon County,County Commissioner,4,2022,Other,No,,,
"Tyser, Matthew C",Tyser for Georgia,State,State Representative,48,2022,Republican,Yes,6605.43,6629.11,
"Tyser, Matthew C.",Tyser For Fulton,Fulton County,County Commissioner,1,2022,Republican,Yes,,,
"Uddin, Jashim ","Friends of Jashim Uddin, Inc.",State,State Senator,48,2024,Democrat,No,198671.69,197426.39,
"Underwood, Andrew Paul",Andrew Underwood for Georgia House,State,State Representative,2,2022,Other,No,,,
"Usher, Jaret ",Friends of Judge Jaret Usher,Cobb County,State Court Judge,at-Large,2024,Non-Partisan,Yes,,,
"Usry, Gary",,Greene County,County Commission Chair,,2022,Republican,No,,,
"Vaishnav, Rupal",Rupal Vaishnav for State Court Judge,Forsyth County,State Court Judge,0,2022,Non-Partisan,Yes,,,
"Van Ness, JaNice Marie",,State,State Senator,43,2022,Republican,No,7276.23,7276.23,
"Van Pelt, Ralph Lee, Jr.",Committee to Re-Elect Judge Van Pelt,State,Superior Court Judge,Lookout Mountain Judicial Circuit: Van Pelt,2022,Non-Partisan,No,7144.43,200,
"Vance, Kenneth Austin, Jr.",,State,State Representative,149,2024,Republican,Yes,81178.11,66338.84,
"Vandiver, James Scott",,State,State Representative,102,2024,Republican,No,1050,1047.4,
"Vaughn, Timothy G",Comm. To Re-Elect Tim Vaughn,State,District Attorney,Oconee,2024,Republican,Yes,6339,3891.19,
"Veal, Holly ",Committee to Elect Holly Veal,State,Superior Court Judge,Flint,2024,Unspecified,No,60641.75,14444.24,
"Verhoeven, Tracey ",Tracey for Georgia,State,State Senator,21,2024,Democrat,Yes,8387.25,4399.11,
"Vie, Valerie Vanessa",,Douglas County,Probate Court Judge,,2024,Democrat,No,,,
"Vines, James McKinley",,Polk County,County Commissioner,1,2022,Republican,No,,,
"Vowell, Gary Clark",Gary Vowell for Ga State Senate,State,State Senator,7,2022,Republican,Yes,,,
"Voyles, Gregory Alan",,State,Superior Court Judge,Southern Judicial Circuit: Voyles,2022,Non-Partisan,No,,,
"Voyles, William Dominic",,State,State Representative,4,2022,Republican,No,4439.91,2210.09,
"Wade, Reginald",Committee to Elect Reginald Wade for Sheriff,Oconee County,Sheriff,,2024,Democrat,No,,,
"Wade, William Solomon",Friends of Will Wade,State,State Representative,9,2024,Republican,Yes,179441.86,136018.9,
"Wagenius, Jeff",,State,State Representative,175,2024,Democrat,No,100,300,
"Wakefield, Samuel Dewitt, III",Campaign to Elect Sam Wakefield,State,State Representative,65,2024,Democrat,No,24115,20441.99,
"Wakeman, Luisa ",The Committee to Elect Luisa,State,State Representative,43,2022,Democrat,No,29740.21,29740.21,
"Wakeman, Luisa ",elect luisa llc,State,State Senator,6,2022,Democrat,Yes,71408.47,71408.47,
"Walker, Arvis",Committee to Elect Arvis Walker,Clayton County,County Commissioner,1,2024,Democrat,Yes,,,
"Walker, Iffat",Friends of Iffat Walker,Rockdale County,County Commissioner,2,2022,Democrat,No,,,
"Walker, Lawrence Cohen, III",Larry Walker for State Senate,State,State Senator,20,2024,Republican,Yes,663365.59,353861.05,
"Walker, Sher'Londa",,Talbot County,County Commissioner,3,2022,Democrat,No,,,
"Walker, Sydney",,State,State Representative,24,2022,Democrat,No,,,
"Wall, David Clyde",,Habersham County,Clerk of Superior Court,,2024,Republican,No,,,
"Wall, Sarah F",Committee to Elect Sarah Wall,State,Superior Court Judge,Oconee,2024,Unspecified,Yes,,,
Wallace Bette "Lauren",Committee to Elect Lauren Wallace for Judge,State,Superior Court Judge,Douglas Judicial Circuit: McClain,2024,Non-Partisan,No,37549.01,58570.66,
"Wallace, Beverly Shannon",Committee to Elect Shannon Wallace District Attorney,State,District Attorney,Blue Ridge,2024,Republican,Yes,2315.35,2315.35,
"Wallace, Beverly Shannon",Committee to Elect Shannon Wallace Superior Court Judge,State,Superior Court Judge,Blue Ridge Judicial Circuit: Wallace,2024,Non-Partisan,No,15153.25,4118.4,
"Wallace, Jonathan Ryan",Jonathan Wallace for State House,State,State Representative,119,2022,Democrat,No,,,
"Waller, Mickey E.",Committee to Elect Mickey Waller,Colquitt County,Solicitor General,,2024,Republican,No,,,
"Walmsley, Timothy R.",Friends of Judge Walmsley,State,Superior Court Judge,Eastern Judicial Circuit: Walmsley,2022,Unspecified,No,4797.19,3863.7,
"Walton, Hoganne Ashleigh",Committee to Elect Hoganne Harrison-Walton,State,State Representative,133,2022,Democrat,No,28929.15,33377.98,
"Wan, Alexander",,State,State Representative,57,2022,Democrat,No,999.63,999.63,
"Ward, Morgan ",,Butts County,Clerk of Superior Court,,2024,Republican,No,,,
"Wardlaw, Rodney Allen",,Toombs County,Sheriff,,2024,Other,No,,,
"Ware, Nick ",Committee to Elect Nick Ware,Catoosa County,County Commission Chair,,2024,Republican,No,,,
"Warren, Deah Brittny",Friends of Judge Deah Warren,State,Superior Court Judge,Douglas Judicial Circuit: Warren,2024,Non-Partisan,No,13528,4481.75,
"Warren, Franchesca",,Fulton,Board of Education,4,2024,Other,No,,,
"Washburn, Roy Dale",Dale Washburn for State House,State,State Representative,144,2024,Republican,No,347169.66,244083.28,
"Washington, Adrian Antoine",Committee to Elect Adrian Washington for Sheriff,Henry County,Sheriff,,2024,Non-Partisan,Yes,,,
"Washington, Gary William",Committee to Elect Judge Gary Washington,Rockdale County,Probate Court Judge,,2022,Democrat,No,,,
"Wasserman, Harvey Saul",Harvey Wasserman for Judge,State,Superior Court Judge,Northern Judicial Circuit: Wasserman,2024,Non-Partisan,No,,,
"Watkins, Jeffrey Alan",Judge Jeff Watkins for Court of Appeals,,Court of Appeals Judge,,2024,Non-Partisan,Yes,139082.07,29004.61,
"Watkins, Karen",,Gwinnett,Board of Education,1,2024,Other,No,,,
"Watson, Benjamin Luther",Ben Watson for Senate Inc.,State,State Senator,1,2024,Unspecified,Yes,821823.03,330470.06,
"Watson, Robert Shane",Robert Watson for Georgia,State,State Representative,12,2022,Republican,No,3592.15,3091.22,
"Watson, Samuel Lawrence",Sam Watson for State House,State,State Representative,172,2024,Republican,Yes,82805.72,54599.41,
"Watson, Samuel Lawrence",Sam Watson for State Senate,State,State Senator,11,2024,Republican,Yes,500780.5,146811.87,
"Weatherby, Richard Brian",Committee to Elect Richard Weatherby,Cherokee County,County Commissioner,2,2024,Republican,No,,,
"Weaver, Brenda S",Comm. To Elect Brenda S. Weaver,State,Superior Court Judge,Appalachian,2024,Non-Partisan,No,9430.4,7504.11,
"Webb, Lucian Earl, Jr.",,Stephens County,County Commissioner,at-Large,2022,Republican,No,,,
"Welch, Eleanor P.",,Macon-Bibb (Cons. Gov.),Waterboard,1,2022,Other,No,,,
"Welch, Eleanor Pearl",The Committee to Elect Eleanor P Welch for MWA District 1 Board Member,Macon-Bibb (Cons. Gov.),Waterboard,1,2022,Republican,No,,,
"Weldon, Joseph William",,Harris County,Coroner,,2024,Non-Partisan,No,,,
"Weldon, Thomas Darrell, Sr.",Committee To Elect Darrell Weldon,State,State Representative,3,2022,Republican,No,14450,12303.25,
"Werkheiser, William ",,State,State Representative,157,2022,Republican,No,220205.27,98497.54,
"West - Robinson, Serless LaTessel",Vote for West-Robinson For Probate Judge,Mitchell County,Probate Court Judge,,2024,Non-Partisan,Yes,,,
"Westbrook, Anne Allen",Campaign to Elect Anne Allen Westbrook,State,State Representative,163,2024,Democrat,No,101860.51,73062.43,
"Whalen, Anne Allison",,State,State Representative,97,2024,Democrat,Yes,,,
"Wheeler, Tracy",Tracy Wheeler for Georgia,State,State Representative,128,2024,Republican,Yes,10514,6860.88,
